1854.166,-0.174,-0.241,-0.093,-0.355,0.006,-0.699,0.350,-0.368,0.028,-0.731,0.390
1854.249,-0.049,-0.130,0.011,-0.213,0.114,-0.425,0.327,-0.228,0.128,-0.465,0.367
1854.332,-0.235,-0.308,-0.172,-0.414,-0.057,-0.525,0.055,-0.425,-0.044,-0.582,0.113
1854.415,0.024,-0.042,0.073,-0.145,0.194,-0.219,0.268,-0.158,0.201,-0.281,0.325
1854.498,-0.146,-0.217,-0.095,-0.313,0.021,-0.365,0.072,-0.326,0.030,-0.430,0.134
1854.581,0.077,0.006,0.139,-0.095,0.250,-0.162,0.316,-0.107,0.261,-0.224,0.379
1854.664,0.190,0.120,0.251,0.038,0.342,-0.016,0.396,0.024,0.353,-0.075,0.452
1854.747,-0.094,-0.165,-0.035,-0.258,0.069,-0.381,0.192,-0.274,0.082,-0.433,0.241
1854.83,0.011,-0.066,0.085,-0.157,0.179,-0.317,0.339,-0.172,0.196,-0.364,0.389
1854.913,-0.356,-0.430,-0.298,-0.523,-0.190,-0.732,0.019,-0.539,-0.174,-0.774,0.061
1854.996,0.153,0.063,0.222,-0.025,0.331,-0.348,0.655,-0.047,0.345,-0.388,0.689
1855.083,0.023,-0.044,0.114,-0.155,0.201,-0.550,0.596,-0.171,0.217,-0.582,0.628
1855.166,-0.530,-0.596,-0.446,-0.707,-0.354,-1.049,-0.012,-0.717,-0.331,-1.077,0.029
1855.249,-0.181,-0.269,-0.121,-0.363,0.001,-0.606,0.245,-0.380,0.013,-0.651,0.286
1855.332,0.108,0.037,0.173,-0.052,0.267,-0.203,0.418,-0.066,0.281,-0.247,0.464
1855.415,-0.171,-0.244,-0.125,-0.331,-0.011,-0.398,0.056,-0.346,-0.003,-0.459,0.111
1855.498,0.010,-0.054,0.056,-0.154,0.173,-0.196,0.215,-0.170,0.178,-0.264,0.274
1855.581,-0.066,-0.134,-0.014,-0.234,0.101,-0.258,0.126,-0.246,0.109,-0.330,0.193
1855.664,-0.149,-0.216,-0.090,-0.303,0.005,-0.349,0.050,-0.316,0.015,-0.409,0.109
1855.747,-0.340,-0.404,-0.268,-0.501,-0.179,-0.634,-0.046,-0.516,-0.164,-0.682,0.003
1855.83,0.010,-0.072,0.086,-0.164,0.184,-0.333,0.353,-0.186,0.199,-0.386,0.400
1855.913,-0.215,-0.299,-0.147,-0.392,-0.037,-0.614,0.185,-0.415,-0.028,-0.665,0.223
1855.996,-0.826,-0.914,-0.750,-0.996,-0.656,-1.400,-0.252,-1.022,-0.640,-1.435,-0.225
1856.083,-0.067,-0.145,0.028,-0.258,0.124,-0.786,0.652,-0.276,0.141,-0.816,0.681
1856.166,-0.372,-0.441,-0.292,-0.538,-0.205,-0.940,0.197,-0.556,-0.186,-0.969,0.227
1856.249,-0.711,-0.806,-0.649,-0.881,-0.540,-1.141,-0.281,-0.907,-0.530,-1.187,-0.248
1856.332,-0.414,-0.492,-0.340,-0.591,-0.238,-0.747,-0.081,-0.607,-0.222,-0.799,-0.029
1856.415,-0.041,-0.116,0.008,-0.216,0.135,-0.272,0.191,-0.229,0.143,-0.340,0.254
1856.498,-0.144,-0.218,-0.094,-0.311,0.023,-0.347,0.059,-0.326,0.032,-0.417,0.124
1856.581,-0.340,-0.412,-0.279,-0.514,-0.166,-0.605,-0.075,-0.528,-0.156,-0.665,-0.018
1856.664,-0.370,-0.442,-0.311,-0.544,-0.196,-0.594,-0.145,-0.558,-0.187,-0.664,-0.081
1856.747,-0.443,-0.506,-0.377,-0.623,-0.263,-0.747,-0.139,-0.637,-0.248,-0.803,-0.082
1856.83,-0.348,-0.430,-0.279,-0.530,-0.167,-0.688,-0.008,-0.548,-0.154,-0.743,0.042
1856.913,-0.855,-0.923,-0.786,-1.019,-0.691,-1.223,-0.487,-1.034,-0.675,-1.264,-0.445
